,params,mean_test_accuracy,std_test_accuracy,model_name
321,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 3}",0.64,0.053851648,N-gramas + RF
322,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
323,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
325,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.64,0.053851648,N-gramas + RF
326,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
327,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
328,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 1}",0.64,0.043588989,N-gramas + RF
329,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 3}",0.64,0.053851648,N-gramas + RF
330,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
331,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
333,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.64,0.053851648,N-gramas + RF
334,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
335,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
342,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.64,0.084557673,N-gramas + RF
346,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.64,0.084557673,N-gramas + RF
347,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.64,0.078421936,N-gramas + RF
349,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.64,0.06244998,N-gramas + RF
355,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
370,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
371,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
374,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
375,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
378,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
379,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
382,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
383,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
401,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 3}",0.64,0.053851648,N-gramas + RF
402,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
403,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
405,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.64,0.053851648,N-gramas + RF
406,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
407,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
409,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 3}",0.64,0.053851648,N-gramas + RF
410,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
411,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
413,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.64,0.053851648,N-gramas + RF
414,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
415,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
418,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
419,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
422,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
423,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
427,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
431,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
449,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 3}",0.64,0.053851648,N-gramas + RF
450,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
451,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
453,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.64,0.053851648,N-gramas + RF
454,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
455,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
457,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 3}",0.64,0.053851648,N-gramas + RF
458,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
459,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
461,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.64,0.053851648,N-gramas + RF
462,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
463,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
465,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 3}",0.64,0.053851648,N-gramas + RF
466,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
467,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
469,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.64,0.053851648,N-gramas + RF
470,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
471,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
474,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
475,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
478,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
479,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.64,0.053851648,N-gramas + RF
514,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 25, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (3, 3), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.64,0.053851648,N-gramas + RF
